text,intent
đồng chí ơi cho tôi xem lịch 11 gờ,HOI_LICH
thưa cán bộ chương trình 5 giờ chiều chứ,HOI_LICH
khi nào tập gì,HOI_LICH
12 giờ giảng đường có lịch gì,HOI_LICH
thay oi ke hoach thu 2 the,HOI_LICH
cho hỏ thứ 5 có lịch gì,HOI_LICH
anh ơi tuần này trung đội làm gì?,HOI_LICH
cho hỏi cho tôi xem lịch tối mai?,HOI_LICH
Em hỏi với 3 giờ chiều có hoạt động gì ?,HOI_LICH
Anh ơi lịch tuầ,HOI_LICH
chủ nhật học gì được không,HOI_LICH
xin phép thủ trưởng tôi muốn biết lịch đấy,HOI_LICH
cho hỏi thứ 7 phải lm gì đi,HOI_LICH
Cho hỏi lịch của lớp thứ 4 vậy,HOI_LICH
anh cho em xem thời khoá biểu thứ 5,HOI_LICH
xin hoi 11 gio co buoi gi?,HOI_LICH
xin hỏi chương trình chiều mai,HOI_LICH
thầy ơi cho em xem thời khoá biểu chủ nhật đấy,HOI_LICH
Tối nay có lịch gì,HOI_LICH
cho hỏi cho em xem thời khoá biểu 10 giờ vậy,HOI_LICH
Khi nào sinh viên có lịch không ạ,HOI_LICH
anh ơi chiều nay trung đội làm gì vậy,HOI_LICH
Thứ 2 có lịch gì vậy,HOI_LICH
Lịch của lớp 7 giờ ?,HOI_LICH
lich ngay mai the nao nhi,HOI_LICH
thua can bo ngay mai sinh vien co lich khong,HOI_LICH
cho hỏi lịch trình 6 giờ sáng chứ,HOI_LICH
Thầy ơi lịch trình 10 giờ đấy,HOI_LICH
xin hỏi tối nay có lịch không,HOI_LICH
xin hỏi cho em xem thời khoá biểu chiều mai,HOI_LICH
Đồng chí ơi kế hoạch 3 giờ chiều nhỉ,HOI_LICH
cho hoi buoi sang co hoat dong gi nhi,HOI_LICH
thưa thủ trưởng buổi trưa trung đội làm gì,HOI_LICH
Xin phep thu truong cuoi tuan co hoat dong gi,HOI_LICH
anh ơi lịch sáng nay ra sao đấy,HOI_LICH
anh ơi tối mai có lịch không,HOI_LICH
xin phep thu truong ngay kia dai doi co lich gi nhi,HOI_LICH
anh ơi tôi muốn biết lịch đấy,HOI_LICH
thưa thủ trưởng 1 giờ có lịch gì,HOI_LICH
Cho hoi lich hom nay the,HOI_LICH
anh ơi tối nay đại đội có lịch gì thế,HOI_LICH
thưa thủ trưởng tôi muốn biết lịch,HOI_LICH
đồng chí lịch của lớp 9 giờ tối nhỉ,HOI_LICH
anh ơi lịch đêm nay tế nào đấy,HOI_LICH
Thầy ơi lịh tuần ạ,HOI_LICH
xin hỏi 9 giờ tối có lịch gì đi,HOI_LICH
xin hỏi 12 giờ có hoạt động gì,HOI_LICH
Thầy ơi khi nào trung đội làm gì?,HOI_LICH
thưa cán bộ 9 gờ tối làm gì vậy,HOI_LICH
cho hỏi cho tôi xem lịch 5 giờ chiều ?,HOI_LICH
Cho em hỏi chương trình ngày kia,HOI_LICH
thưa cán bộ thứ 5 có lịch không ạ,HOI_LICH
ngày mai trung đội làm gì vậy,HOI_LICH
thầy ơi ch nhật học gì,HOI_LICH
báo cáo thủ trưởng chiều mai học gì ?,HOI_LICH
cho tôi xem lịch 6 giờ?,HOI_LICH
Báo cáo thủ trưởn thứ 5 giảng đường có lịch gì đi,HOI_LICH
cho em hỏi lịch 1 giờ chiều thế ào ạ,HOI_LICH
Xin hỏi 6 giờ sinh viên có lịch không chứ,HOI_LICH
thưa cán bộ thứ 2 làm gì vậy,HOI_LICH
sáng mai có gì đặc biệt thưa thủ trưởng,HOI_LICH
Xin phép thủ trưởng chủ nhật giảng đường có lịch gì?,HOI_LICH
Thưa thủ trưởng lịch trình 1 giờ chiều,HOI_LICH
Dong chi oi tuan toi co gi dac biet the,HOI_LICH
Cho em hỏi buổi tối học gì,HOI_LICH
cho em hỏi kế hoạch thứ 4 vậy,HOI_LICH
Cho em hoi thu 7 phai lam gi day,HOI_LICH
Xin hỏi cho em xem thời khoá biểu thứ 3,HOI_LICH
em hoi voi cho em xem thoi khoa bieu 11 gio duoc khong a,HOI_LICH
bao cao thu truong 3 gio chieu co buoi gi vay,HOI_LICH
thưa thủ trưởng lịch ngày mai ra sao được không ạ,HOI_LICH
đồng chí ơi đầu tuần có buổi gì,HOI_LICH
Đồng chí ơi lịch sáng mai thế nào thưa thủ trưởng,HOI_LICH
thưa cán bộ kế hoạch 1 giờ chiều được không,HOI_LICH
đồng chí ơi lịch tuần thưa thủ trưởng,HOI_LICH
thưa án bộ thứ 2 phải làm gì được không,HOI_LICH
báo cáo thủ trưởng thứ 6 đại đội có lịch gì thưa thủ trưởng,HOI_LICH
thưa thủ trưởng lịch hôm nay,HOI_LICH
Cho em hỏi lịh tuần,HOI_LICH
em hỏi với buổi sáng học gì chứ,HOI_LICH
xin hỏi tối mai đại đội có lịch gì?,HOI_LICH
Cho hỏi 7 giờ tối có hoạt động gì vậy,HOI_LICH
cho hỏi lịch hôm nay,HOI_LICH
Thua thu truong chieu mai co lich gi the,HOI_LICH
Thưa thủ trưởng chương trình 5 giờ sáng ạ,HOI_LICH
Thưa thủ trưởng chiều mai có gì đặc biệt ạ,HOI_LICH
lịch 10 giờ ra sao thế,HOI_LICH
Em hỏi với 3 giờ chiều có buổi gì vậy,HOI_LICH
Cho hỏi sáng nay trung đội làm gì thế,HOI_LICH
đồng chí ơi hôm qua đại đội có lịch gì chứ,HOI_LICH
ah ơi đêm nay làm gì,HOI_LICH
thua thu truong thu 4 co buoi gi thua thu truong,HOI_LICH
cho hỏi chủ nhật có hoạt động gì đi,HOI_LICH
thầy ơi khi nào có hoạt động gì được không,HOI_LICH
tuần này có lịch không đi,HOI_LICH
thưa thủ trưởng 5 giờ sáng học gì nhỉ,HOI_LICH
Thưa cán bộ thứ 7 có lịch không ?,HOI_LICH
xin hỏi tuần sau giảng đường có lịch gì chứ,HOI_LICH
Hom nay trung doi lam gi nhi,HOI_LICH
báo cáo thủ trưởng cho tôi xem lịch lúc nào ?,HOI_LICH
Đồng chí ơi cho tôi xem lịch thứ 6 thưa thủ trưởng,HOI_LICH
Anh ơi thời khoá biểu thứ 6 đi,HOI_LICH
báo cáo thủ trưởng lịch chủ nhật thế nào,HOI_LICH
Báo cáo thủ trưởng tối nay có gì đặc biệt được không ạ,HOI_LICH
Cho em hoi buoi sang phai lam gi di,HOI_LICH
xin hỏi lịch hôm nay đi,HOI_LICH
Lich hom nay day,HOI_LICH
thưa cán bộ 10 giờ có hoạt động gì thưa thủ trưởng,HOI_LICH
cho em hỏi lịch trình 5 giờ chiều ?,HOI_LICH
Xin hỏi tối mai đại đội có lịch gì ?,HOI_LICH
Cho em hỏi chương trình 12 giờ đi,HOI_LICH
Cho em hỏi sáng mai trung đội làm gì?,HOI_LICH
xin hỏi lịch trình thứ 4?,HOI_LICH
em hỏi với 6 giờ sáng giảng đường có lịch gì,HOI_LICH
Báo cáo thủ trưởng lịch buổi sáng thế nào,HOI_LICH
đồng chí ơi tứ 5 có buổi gì,HOI_LICH
dong chi oi 3 gio chieu co lich gi a,HOI_LICH
chương trình 1 giờ chiều,HOI_LICH
Thưa thủ trưởng 6 giờ sinh viên có lịch không,HOI_LICH
Thay oi ngay kia lam gi a,HOI_LICH
cho em hỏi thứ 5 trung đội làm gì,HOI_LICH
cho em hoi buoi toi co lich gi day,HOI_LICH
em hỏi với chiều mai trung đội làm gì ?,HOI_LICH
cho em hỏi buổi chiều có hoạt động gì,HOI_LICH
ngày mai tập gì ạ,HOI_LICH
Xin phep thu truong ke hoach dem nay a,HOI_LICH
thầy ơi lịch tuần này thế nào thưa thủ trưởng,HOI_LICH
thưa thủ trưởng lịch của lớp thứ 2,HOI_LICH
thưa cán bộ đầu tuần trung đội làm gì được không ạ,HOI_LICH
thầy ơi 10 giờ có buổi gì ạ,HOI_LICH
thay oi ngay mai co lich khong,HOI_LICH
thầy lịch của lớp tối mai,HOI_LICH
Thứ 6 có buổi gì ?,HOI_LICH
thầy chiều nay sinh viên có lịch không đi,HOI_LICH
Cho em hỏi cho em xem thời khoá biểu tuần này chứ,HOI_LICH
chiều nay trung đội làm gì thưa thủ trưởng,HOI_LICH
cho em hỏi chiều nay có lịch không thế,HOI_LICH
Xin hoi thu 6 co hoat dong gi?,HOI_LICH
1 giờ chiều có gì đặc biệt được không,HOI_LICH
chủ nhật giảng đường có lch gì?,HOI_LICH
đồng chí ơi lịch của lớp 1 giờ chiều nhỉ,HOI_LICH
Kế hoạch khi nào nhỉ,HOI_LICH
thưa cán bộ 7 giờ giảng đường có lịch gì,HOI_LICH
Em hỏi với lịch trình 12 giờ?,HOI_LICH
Cho hỏi lịch tuần?,HOI_LICH
Đồng chí ơi 10 giờ có lịch gì,HOI_LICH
dong chi oi buoi toi co lich khong the,HOI_LICH
thưa thủ trưởng 1 giờ chiều sinh viên có lịch không ?,HOI_LICH
đồng chí ơi lịch hôm nay?,HOI_LICH
Em hỏi với chương trình 1 giờ chiều vậy,HOI_LICH
cho em hỏi thứ 7 làm gì,HOI_LICH
anh ơi lịch gày mai thế nào,HOI_LICH
Thầy ơi cho em xem thời khoá biểu thứ 4 được không ạ,HOI_LICH
Thưa thủ trưởng tôi muốn biết lịch thưa thủ trưởng,HOI_LICH
cho hỏi thứ 3 có hoạt động gì,HOI_LICH
lịch trình đầu tuần đi,HOI_LICH
Thu 7 co lich khong a,HOI_LICH
xin hỏi lịch của lớp tối mai ạ,HOI_LICH
5 gio chieu co buoi gi ?,HOI_LICH
thưa thủ trưởng tuần sau có lịch không nhỉ,HOI_LICH
lịch trình đêm nay ậy,HOI_LICH
Xin phép thủ trưởng cho em xem thời khoá biểu 3 giờ chiều,HOI_LICH
đồng chí ơi lịch tuần sau ra so?,HOI_LICH
cho hỏi tuần này giảng đường có lịch gì thưa thủ trưởng,HOI_LICH
Xin phép thủ trưởng thời khoá biểu thứ 6,HOI_LICH
anh ơi lịch 11 giờ thế nào thế,HOI_LICH
ch em hỏi lịch của lớp thứ 6 thế,HOI_LICH
6 giờ có bui gì?,HOI_LICH
Thầy ơi lịch hôm nay được không,HOI_LICH
thưa cán bộ sáng mai trung đội làm gì được không,HOI_LICH
anh ơi 8 giờ học gì đi,HOI_LICH
báo cáo thủ trưởng lịch 5 giờ chiều thế nào được không ạ,HOI_LICH
thầy ơi buổi sáng tập gì thưa thủ trưởng,HOI_LICH
đồng chí ơi cho em xem hời khoá biểu 5 giờ chiều,HOI_LICH
Em hỏi với thứ 2 đại đội có lịch gì,HOI_LICH
Lịch chiều nay ra sao?,HOI_LICH
thưa cán bộ buổi tối có lịch gì ấy,HOI_LICH
cho em hỏi lịch của lớp tuần này,HOI_LICH
xin hỏi lịch tuần thưa thủ trưởng,HOI_LICH
Báo cáo thủ trưởng kế hoạch 1 giờ chiều nhỉ,HOI_LICH
thưa thủ trưởng thời khoá biểu 11 giờ thưa thủ trưởng,HOI_LICH
thu 4 hoc gi,HOI_LICH
thay oi cho toi xem lich 7 gio day,HOI_LICH
cho tôi xem lịch 3 gờ chiều vậy,HOI_LICH
Xin hỏi lịch thứ 7 thế nào ạ,HOI_LICH
cho hỏi tuần này có hoạt động gì,HOI_LICH
em hỏi với 5 giờ chiều có buổi gì ạ,HOI_LICH
Thầy ơi chiều nay giảng đường có lịch gì,HOI_LICH
Lịch ngày kia ra sao chứ,HOI_LICH
Em hỏi với lịch buổi tối thế nào đấy,HOI_LICH
Thứ 6 có gì đặc biệt,HOI_LICH
thưa cán bộ 10 giờ có lịch gì?,HOI_LICH
thưa thủ trưởng 9 giờ tối có lịch gì được không ạ,HOI_LICH
thưa thủ trưởng 6 giờ sáng phải làm gì vậy,HOI_LICH
đầu tuần có gì đặc biệt nhỉ,HOI_LICH
báo co thủ trưởng buổi chiều có gì đặc biệt ạ,HOI_LICH
anh ơi lịch chủ nhật thế nào ạ,HOI_LICH
thầy ơi tối mai phải làm gì vậy,HOI_LICH
xin hỏi buổi trưa có buổi gì chứ,HOI_LICH
cho hoi lich cua lop 5 gio chieu chu,HOI_LICH
đồng chí ơi 5 giờ chiều trung đội làm gì thưa thủ trưởng,HOI_LICH
Thưa cán bộ cho tôi xem lịch 3 giờ chiều được không,HOI_LICH
chiều mai sinh viên có lịch không vậy,HOI_LICH
thưa cán bộ lịch hôm nay ạ,HOI_LICH
thầy ơi cho em xem thời khoá biểu tối mai?,HOI_LICH
lịch 5 giờ chiều ra sao chứ,HOI_LICH
anh ơi lịch hôm nay đưc không,HOI_LICH
thua thu truong lich buoi sang ra sao thua thu truong,HOI_LICH
thưa cán bộ hôm qua học gì ạ,HOI_LICH
sáng nay phải làm gì đi,HOI_LICH
Thầy ơi 5 giờ chiều làm gì ạ,HOI_LICH
Thứ 4 có gì đặc biệt ạ,HOI_LICH
tuần tới trung đội làm gì,HOI_LICH
xin hỏi cho em xem thời khoá biểu 7 giờ ?,HOI_LICH
Anh ơi cho tôi xem lịch tuần sau đi,HOI_LICH
em hoi voi cho em xem thoi khoa bieu chieu nay,HOI_LICH
xin phép thủ trưởng lịch thứ 2 thế nào được không ạ,HOI_LICH
em hỏi với thời khoá biểu hôm qua vậy,HOI_LICH
thưa cán bộ thời khoá biểu sáng mai được không,HOI_LICH
thầy ơi tuần sau phải làm gì nhỉ,HOI_LICH
anh ơi ngày kia đại đội có lịch gì đấy,HOI_LICH
xin phep thu truong lich cua lop thu 2 duoc khong,HOI_LICH
Xin hỏi khi nào phải làm gì,HOI_LICH
Em hỏi với bao giờ có cơm,HOI_GIO_AN
cho hỏi đến bữa chưa vậy,HOI_GIO_AN
cho em hỏi đến bữa chưa được không,HOI_GIO_AN
Xin hỏi khi nào n ?,HOI_GIO_AN
mấy giờ phát cơm thế,HOI_GIO_AN
cơm trưa lúc mấy giờ thế,HOI_GIO_AN
xin hỏi bao giờ tới giờ cơm ?,HOI_GIO_AN
thầy ăn trưa lúc mấy giờ,HOI_GIO_AN
Báo cáo thủ trưởng tối nay ăn lúc mấy giờ,HOI_GIO_AN
thưa thủ trưởng có cơm mấy giờ được không ạ,HOI_GIO_AN
cho hỏi đói quá khi nào ăn,HOI_GIO_AN
bao giờ tới giờ cơm vậy,HOI_GIO_AN
xin hỏi ba giờ nấu cơm,HOI_GIO_AN
Ăn trưa mấy giờ ạ,HOI_GIO_AN
Em hỏi với tôi đói rồi ăn tối chưa ạ,HOI_GIO_AN
Bao giờ cơm sáng ?,HOI_GIO_AN
Báo cáo thủ trưởng giờ dọn cơm là khi nào thưa thủ trưởng,HOI_GIO_AN
bao cao thu truong trua nay may gio an nhi,HOI_GIO_AN
cho hoi den gio an trua chua ?,HOI_GIO_AN
cho hỏi trưa nay mấy giờ ăn thưa thủ trưởng,HOI_GIO_AN
mấy giờ ăn cơm,HOI_GIO_AN
xin hoi thu 7 may gio com trua,HOI_GIO_AN
anh ơi ăn tối mấy giờ đưc không,HOI_GIO_AN
xin phép thủ trưởng khi nào nhà ăn mở vậy,HOI_GIO_AN
cho hỏi mấy giờ cơm sáng thưa thủ trưởng,HOI_GIO_AN
bao giờ có cơm vậy,HOI_GIO_AN
thưa cán bộ tôi đói rồi ăn tối chưa đi,HOI_GIO_AN
Thua can bo khi nao nha an mo,HOI_GIO_AN
9 giờ tối mấy giờ ăn sáng được không ạ,HOI_GIO_AN
Báo cáo thủ trưởng đói quá khi nào ăn ?,HOI_GIO_AN
báo cáo thủ trưởng lúc nào dọn cơm đi,HOI_GIO_AN
Đồng chí ơi ăn tối giờ nào đi,HOI_GIO_AN
Lúc nào ăn tối vậy,HOI_GIO_AN
đế bữa chưa,HOI_GIO_AN
cho hỏi giờ ăn sáng được không,HOI_GIO_AN
báo cáo thủ trưởng trưa nay mấy giờ ăn ạ,HOI_GIO_AN
cho em hoi khi nao an ?,HOI_GIO_AN
thưa cán bộ bao giờ tới giờ cơm vậy,HOI_GIO_AN
Có cơm mấy giờ,HOI_GIO_AN
khi nào nhà ăn mở ạ,HOI_GIO_AN
Cho hỏi đến giờ nấu cơm chưa,HOI_GIO_AN
báo cáo thủ trưởng ăn tối mấy giờ nhỉ,HOI_GIO_AN
cơm trưa lúc mấy giờ ạ,HOI_GIO_AN
Thầy ơi giờ phát cơm là khi nào nhỉ,HOI_GIO_AN
Thầy ơi tôi đói rồi ăn cơm chưa,HOI_GIO_AN
đến bữa chưa được không ạ,HOI_GIO_AN
Thưa cán bộ ăn tối giờ nào thưa thủ trưởng,HOI_GIO_AN
xin hỏi khi nào cơm chiều được không,HOI_GIO_AN
thầy trưa nay mấy giờ ăn đấy,HOI_GIO_AN
bao cao thu truong bao gio co com vay,HOI_GIO_AN
thưa thủ trưởng lúc nào ăn sáng thưa thủ trưởng,HOI_GIO_AN
đồng chí ơi giờ nấu cơm,HOI_GIO_AN
Đồng chí ơi cơm chiều mấy giờ,HOI_GIO_AN
tuần sau mấy giờ cơm chiều đấy,HOI_GIO_AN
bao giờ tới giờ cơm được không ạ,HOI_GIO_AN
Thầy ơi lúc nào ăn sáng,HOI_GIO_AN
xin phép thủ trưởng dọn cơm lúc mấy giờ ạ,HOI_GIO_AN
Cho em hỏi tối nay ăn úc mấy giờ,HOI_GIO_AN
Anh ơi mấy giờ ăn tối vậy,HOI_GIO_AN
thưa cán bộ có gì ăn không,HOI_GIO_AN
cho hoi com trua may gio,HOI_GIO_AN
xin phép thủ trưởng hiều mai mấy giờ phát cơm nhỉ,HOI_GIO_AN
mấy giờ ăn cơm thưa thủ trưởng,HOI_GIO_AN
thua thu truong luc nao com trua,HOI_GIO_AN
thưa thủ trưởng giờ ăn trưa là khi nào?,HOI_GIO_AN
Đồng chí ơi khi nào nhà ăn mở nhỉ,HOI_GIO_AN
anh ơi bao giờ có cơm,HOI_GIO_AN
anh ơi bao giờ ăn cơm?,HOI_GIO_AN
thưa thủ trưởng mấy giờ cơm sáng chứ,HOI_GIO_AN
Anh ơi giờ phát cơm,HOI_GIO_AN
Ăn cơm lúc mấy giờ,HOI_GIO_AN
Thầy ơi khi nào nhà ăn mở thế,HOI_GIO_AN
bao giờ có bữa?,HOI_GIO_AN
báo cáo thủ trưởng khi nào nấu cơm?,HOI_GIO_AN
Thưa thủ trưởng tôi đói rồi cơm trưa chưa,HOI_GIO_AN
Trưa nay mấy giờ ăn được không,HOI_GIO_AN
thưa thủ trưởng giờ ăn sáng?,HOI_GIO_AN
Nhà ăn mở mấy giờ được hông ạ,HOI_GIO_AN
Đồng chí ơi đến giờ có bữa chưa được không ạ,HOI_GIO_AN
cho hỏi bao giờ cơm chiều ?,HOI_GIO_AN
Bao giờ tới giờ cm được không,HOI_GIO_AN
Xin hỏi tôi đói rồi cơm sáng chưa,HOI_GIO_AN
ăn sáng giờ nào chứ,HOI_GIO_AN
đồng chí ơi khi nào cơm chiều,HOI_GIO_AN
Em hỏi với cơm buổi sáng mấy giờ?,HOI_GIO_AN
em hỏi với bao giờ tới giờ cơm thế,HOI_GIO_AN
ăn trưa mấy giờ vậy,HOI_GIO_AN
Thưa thủ trưởng khi nào ăn?,HOI_GIO_AN
thầy ơi trưa nay mấy giờ ăn,HOI_GIO_AN
cho hoi doi qua khi nao an,HOI_GIO_AN
đồng chí ơi khi nào ăn ạ,HOI_GIO_AN
em hỏi với cơm thứ 4 mấy giờ đi,HOI_GIO_AN
xin hỏi cơm sáng lúc mấy giờ chứ,HOI_GIO_AN
xi hỏi đến giờ phát cơm chưa được không,HOI_GIO_AN
Cho em hỏi trưa nay mấy giờ ăn thưa thủ trưởng,HOI_GIO_AN
Lúc nào có bữa được không,HOI_GIO_AN
báo cáo thủ trưởng giờ có bữa là khi nào đấy,HOI_GIO_AN
báo cáo thủ trưởng bao giờ tới giờ cơm nhỉ,HOI_GIO_AN
Xin hỏi khi nào có cơm đi,HOI_GIO_AN
Dong chi oi den bua chua ?,HOI_GIO_AN
cho em hỏi có cơm mấy giờ thưa thủ trưởng,HOI_GIO_AN
khi nào cơm sáng nhỉ,HOI_GIO_AN
Cho em hỏi dọn cơm mấy giờ được không ạ,HOI_GIO_AN
anh ơi cơm đầu tuần mấy giờ chứ,HOI_GIO_AN
Thưa thủ trưởng giờ nấu cơm nhỉ,HOI_GIO_AN
xin phép thủ trưởng tôi đói rồi phát cơm chưa ạ,HOI_GIO_AN
anh ơi bao giờ tới giờ cơm,HOI_GIO_AN
giờ ăn tối là khi nào được không,HOI_GIO_AN
thưa cán bộ bao giờ có cơm thế,HOI_GIO_AN
báo cáo thủ trưởng giờ cơm sáng là khi nào thưa thủ trưởng,HOI_GIO_AN
tôi đói rồi có bữa chưa đấy,HOI_GIO_AN
Đồng chí ơi giờ dọn cơm là khi nào được không,HOI_GIO_AN
Dong chi oi com cuoi tuan may gio?,HOI_GIO_AN
em hoi voi co gi an khong chu,HOI_GIO_AN
xin hỏi bao giờ có cơm được không,HOI_GIO_AN
Xin phép thủ trưởng cơm chiều giờ nào đấy,HOI_GIO_AN
thưa thủ trưởng cơm ngày mai mấy giờ được không,HOI_GIO_AN
dong chi oi com chieu may gio the,HOI_GIO_AN
đến bữa chưa thế,HOI_GIO_AN
dong chi oi den gio co bua chua,HOI_GIO_AN
thưa cán bộ bao giờ tới giờ cơm?,HOI_GIO_AN
Thưa thủ trưởng ăn sáng giờ nào ạ,HOI_GIO_AN
cho hỏi khi nào nấu cơm chứ,HOI_GIO_AN
thưa cán bộ tối nay ăn lúc mấy giờ được không ạ,HOI_GIO_AN
